PDB_ID,Experimental,DELTA_TOTAL,VDWAALS,EEL,EPB,ENPOLAR
1u9e,-11.2568002,-31.58,-30.14,-6.719,8.212,-2.934
4fvq,-8.236269695,-41.246,-42.643,-14.842,20.746,-4.508
3bla,-11.94117717,-26.67,-24.935,-4.21,5.771,-3.297
4hxz,-8.299081534,-42.537,-43.127,-7.132,11.175,-3.453
1oz0,-10.56846555,-27.85,-27.694,-11.736,15.377,-3.798
5dh4,-9.933726452,-33.466,-34.406,-4.498,8.964,-3.526
2p15,-14.14034353,-60.49,-58.688,-5.144,8.091,-4.749
4kz7,-3.424709605,-11.681,-11.608,-4.101,5.899,-1.871
1y59,-8.127128252,-40.052,-41.494,-5.981,11.218,-3.796
3mwe,-2.110684129,-11.136,-10.438,-11.242,12.23,-1.686
5lvr,-4.944589591,-25.052,-24.527,-4.519,6.625,-2.631
5nk3,-10.18581725,-54.125,-54.044,-8.054,12.738,-4.765
2wvt,-8.403813332,-20.522,-15.68,-15.865,13.286,-2.263
5o5f,-5.900126503,-32.587,-33.094,-6.599,10.694,-3.588
6fuh,-5.174506552,-45.576,-46.819,-9.619,15.026,-4.165
1stp,-18.37921173,-33.865,-31.218,-14.918,15.323,-3.052
2z4b,-12.8438412,-42.526,-41.04,-5.837,7.909,-3.558
2r9x,-6.662966427,-33.685,-32.428,-12.838,15.363,-3.782
4hvi,-9.778931528,-43.177,-43.019,-7.186,11.214,-4.187
3owl,-8.430080958,-36.588,-36.469,-3.909,7.125,-3.335
2ymd,-4.336762186,-13.517,-13.7,-2.85,4.901,-1.869
3r8i,-7.33959729,-61.096,-61.854,-6.105,12.738,-5.875
4ks3,-8.739411804,-39.785,-39.539,-15.551,19.878,-4.572
5dif,-8.5508238,-55.15,-55.45,-32.826,37.667,-4.54
4emv,-11.33449996,-50.404,-49.118,-14.427,17.429,-4.288
3l8x,-10.98169293,-52.878,-53.811,-6.696,12.061,-4.432
5c5h,-8.79153673,-53.497,-54.998,-20.151,27.159,-5.507
4xaq,-9.807311844,-28.209,-25.747,-21.854,21.563,-2.17
2vi5,-5.434026244,-25.448,-23.802,-10.326,11.501,-2.821
5osl,-4.702867074,-35.072,-34.319,-3.868,6.044,-2.928
1gu1,-6.208608191,-13.112,-12.583,-7.154,8.536,-1.91
3uj9,-6.356731183,-23.424,-27.43,0,4.602,-0.596
3gi6,-15.39406312,-59.073,-62.113,-15.629,24.938,-6.27
6ckr,-10.02220868,-39.615,-38.045,-20.802,23.373,-4.141
6bw2,-10.53937876,-66.722,-64.073,-8.22,11.368,-5.797
2aba,-8.443256665,-46.802,-46.15,-5.915,9.088,-3.825
4rce,-11.87786036,-54.022,-51.365,-51.362,53.757,-5.053
4ty9,-2.810890581,-12.362,-12.602,-0.987,2.812,-1.585
2i4u,-15.88040134,-61.483,-65.154,-16.507,26.117,-5.939
3nxx,-6.802187026,-46.309,-48.627,-4.027,10.38,-4.036
1xap,-11.94117717,-55.786,-53.324,-6.822,8.87,-4.51
4uiz,-6.417612879,-40.489,-40,-7.543,11.699,-4.645
3lq2,-7.171080717,-20.11,-19.865,-38.371,41.292,-3.166
1bq3,-7.409814951,-29.828,-28.005,-31.925,34.351,-4.248
5exw,-9.367258794,-47.637,-50.256,-10.675,17.823,-4.529
3zyx,-9.389467939,-42.979,-46.139,-1.068,8.189,-3.962
2vo5,-6.707146716,-29.682,-30.035,-11.363,14.896,-3.179
4ijq,-10.32674304,-29.11,-27.304,-29.835,31.896,-3.866
3gep,-5.151124689,-35.234,-30.699,-25.828,24.696,-3.403
4j51,-8.993697601,-28.238,-27.978,-7.115,10.376,-3.521
5h86,-7.204403374,-66.114,-66.197,-18.317,25.024,-6.624
5fsl,-6.341637691,-21.263,-21.049,-8.29,10.513,-2.437
1jil,-11.46682409,-43.074,-40.697,-19.251,21.189,-4.314
5ti3,-5.948573308,-34.704,-33.969,-3.869,6.773,-3.639
5ehe,-11.41925678,-37.395,-37.545,-6.983,10.975,-3.842
5u6b,-13.5707048,-45.646,-43.993,-10.12,12.888,-4.421
4mr6,-9.060344551,-33.523,-32.247,-6.901,9.46,-3.835
4l7s,-10.69434027,-48.595,-48.534,-6.291,11.075,-4.845
5o5a,-6.547218168,-38.902,-38.854,-10.549,14.384,-3.884
5n9n,-12.88594064,-47.4,-47.509,-4.082,8.406,-4.215
6ie8,-5.786562041,-42.578,-42.015,-9.032,13.071,-4.602
5mgj,-5.892268279,-23.609,-22.314,-4.309,5.689,-2.675
3hcm,-4.531362219,-20.704,-20.061,-1.202,3.198,-2.639
5ey9,-7.429512027,-77.13,-74.201,-21.185,24.243,-5.987
4coe,-9.859201267,-65.482,-67.6,-7.496,17.105,-7.491
5ukj,-9.830195036,-58.382,-57.262,-10.42,14.009,-4.709
1fmb,-13.72711616,-38.688,-36.972,-10.253,12.908,-4.372
3as0,-6.249739055,-29.915,-25.26,-96.149,94.165,-2.67
2xaj,-5.181561795,-100.05,-101.99,-33.101,42.307,-7.267
4mr4,-8.157110764,-31.063,-30.464,-5.601,8.697,-3.695
2o4s,-14.42532987,-64.739,-65.719,-16.638,24.421,-6.804
2ews,-9.087060923,-44.526,-44.538,-18.135,22.564,-4.417
3zpt,-11.67990664,-68.23,-70.533,-18.817,28.147,-7.027
4zbr,-6.2979942,-32.893,-32.79,-4.347,7.514,-3.27
3wzd,-11.90412622,-56.5,-54.762,-9.869,13.019,-4.889
1k27,-12.35440454,-44.676,-48.658,0,4.837,-0.855
2jb6,-15.08973237,-54.842,-57.07,9.901,-2.129,-5.544
4cp5,-4.591530324,-28.638,-28.844,-10.289,14.29,-3.796
3kfa,-10.38010328,-76.197,-77.202,-8.426,15.853,-6.422
4lwu,-11.33449996,-51.57,-49.875,-5.64,8.787,-4.843
5mae,-9.383372237,-25.372,-29.979,52.722,-44.943,-3.172
2tct,-9.60255696,-34.978,-39.589,-2.061,11.077,-4.405
6p83,-9.742010811,-29.522,-29.455,-1.184,4.432,-3.315
5ovf,-9.358502685,-40.235,-40.013,-4.174,7.804,-3.852
4b35,-3.961723484,-23.048,-22.867,-2.482,4.554,-2.253
3uew,-8.661541135,-38.59,-35.611,-4.264,5.58,-4.295
5ofw,-3.837936976,-18.57,-17.424,-3.226,4.234,-2.155
2vxa,-7.690012823,-18.234,-18.177,-2.99,5.152,-2.219
3frf,-11.69163266,-43.226,-43.885,-6.151,10.939,-4.129
4jfl,-6.834471282,-48.122,-47.797,-11.142,15.451,-4.633
5op2,-9.087060923,-47.835,-47.949,-4.682,9.455,-4.658
1jki,-7.163300008,-69.587,-71.294,-36.776,44.723,-6.24
4o10,-9.705368307,-46.89,-48.643,-7.72,14.117,-4.644
5kab,-6.42124391,-16.035,-15.192,-9.486,10.907,-2.263
5jur,-11.69945465,-35.744,-35.738,-7.545,11.284,-3.745
1t79,-8.285978565,-49.09,-47.964,-6.056,8.419,-3.489
5h8t,-10.60784628,-45.165,-45.707,-4.113,9.146,-4.491
5z69,-6.166007623,-30.629,-29.909,-17.398,20.404,-3.727
4mo4,-5.795380819,-34.605,-33.38,-21.488,24.594,-4.331
4lyw,-9.094559903,-35.201,-33.787,-6.465,9.049,-3.999
6bxy,-11.04450477,-56.843,-57.687,-12.833,19.033,-5.355
2wbg,-6.113312616,-39.165,-36.182,-18.618,19.487,-3.852
3ivc,-5.662351318,-45.761,-46.934,-8.428,14.251,-4.651
6gno,-9.252375707,-22.805,-22.276,-1.978,3.978,-2.529
4ih5,-5.638969456,-27.664,-27.966,-3.83,6.933,-2.8
1ecv,-6.662966427,-25.551,-22.542,-17.915,17.296,-2.39
5i7s,-10.28138918,-35.469,-37.102,-3.008,7.656,-3.015
6n97,-7.067737472,-60.684,-61.343,-20.634,27.494,-6.201
2zn7,-10.82528156,-30.586,-30.538,-6.215,10.075,-3.908
2xc5,-9.887352764,-63.018,-64.319,-9.724,16.246,-5.222
6b7e,-6.249739055,-25.175,-24.678,-2.694,5.14,-2.943
5hg9,-10.2348444,-49.885,-49.96,-3.262,8.047,-4.71
2pu2,-6.083580972,-28.852,-27.812,-12.81,15.193,-3.423
6dkg,-11.78476581,-63.977,-62.417,-8.264,12.672,-5.967
6nwl,-10.11212342,-53.964,-53.228,-8.937,12.077,-3.876
5cu3,-8.909595326,-65.713,-65.356,-8.609,14.17,-5.918
5yas,-4.474542,-13.509,-14.943,-3.346,6.573,-1.793
4ggl,-12.34614466,-45.615,-47.068,-8.25,13.762,-4.059
5em3,-5.074224309,-17.905,-17.412,-3.956,5.57,-2.107
2y5h,-7.948666001,-55.413,-56.863,-10.459,16.429,-4.519
5fap,-10.98169293,-29.594,-28.526,-14.567,16.649,-3.149
6i3u,-12.59181624,-52.13,-51.703,-2.881,7.507,-5.053
2yb0,-5.290254811,-23.354,-21.375,-13.761,14.48,-2.697
5oh4,-6.249739055,-21.2,-19.871,-6.809,7.198,-1.719
5g2o,-6.802187026,-64.122,-70.351,0,8.021,-1.792
6qau,-10.27173211,-57.591,-58.864,-6.097,12.589,-5.22
5v5y,-10.80721469,-57.005,-58.486,-7.333,14.263,-5.449
5tku,-13.44691829,-66.96,-68.143,-14.575,21.305,-5.547
6md0,-8.093777121,-48.969,-48.126,-5.599,9.506,-4.75
4avi,-10.46979229,-29.677,-22.278,-21.219,17.252,-3.431
3i6o,-14.20315537,-65.187,-68.199,-15.277,24.77,-6.482
4b7j,-10.91947755,-31.817,-34.717,-10.479,16.887,-3.509
4cmt,-13.30498742,-45.039,-45.16,-3.7,8.415,-4.593
4ywu,-5.487175406,-13.979,-15.186,0,1.556,-0.349
1qds,-5.924446717,-11.182,-8.886,-14.354,13.82,-1.762
6b5i,-8.179449475,-57.24,-58.405,-7.426,13.61,-5.019
5vij,-10.45236672,-35.686,-36.389,-12.493,16.757,-3.56
1uz4,-4.66439172,-18.472,-17.869,-13.713,15.188,-2.078
5x80,-6.021031048,-10.19,-8.998,-7.383,8.013,-1.822
2r38,-10.21805002,-61.623,-65.218,-18.413,27.794,-5.786
5dhp,-5.290254811,-25.183,-22.675,-12.249,12.761,-3.02
2xjj,-8.934483406,-42.36,-41.049,-8.456,10.783,-3.637
4kln,-10.56846555,-38.871,-38.137,-15.903,18.944,-3.774
3h7u,-9.311479309,-68.927,-66.874,-34.554,38.658,-6.158
4ibj,-5.940961543,-38.196,-38.128,-4.225,8.418,-4.261
3gp0,-10.21805002,-70.074,-69.418,-7.848,13.318,-6.125
6pi6,-7.766222103,-27.277,-26.986,-5.972,8.569,-2.887
4y4v,-5.01005694,-6.954,-6.62,-3.903,4.735,-1.167
4ibd,-5.035614498,-28.818,-28.394,-3.993,6.99,-3.421
5acc,-12.52109303,-59.66,-59.404,-4.944,9.579,-4.89
3doy,-7.944302532,-36.455,-36.874,-5.595,9.852,-3.837
2onz,-12.19799318,-49.166,-50.837,-5.581,10.849,-3.597
2xb9,-9.2926414,-40.903,-39.956,-14.869,17.367,-3.444
1e3g,-12.36039616,-49.092,-47.44,-7.135,8.942,-3.458
2ze3,-4.178151399,-12.302,-13.105,-9.048,11.789,-1.938
1km3,-6.735317047,-19.84,-18.838,-15.106,17.106,-3.002
1wv1,-7.582033446,-30.815,-30.836,-3.098,6.764,-3.645
2i4z,-7.82963643,-63.15,-64.197,-5.346,12.628,-6.236
5fh7,-9.4213034,-34.676,-34.124,-5.086,7.591,-3.057
4m52,-9.402099419,-27.201,-27.047,-5.738,8.827,-3.243
2xii,-9.881596745,-41.599,-40.439,-16.497,19.129,-3.792
3adt,-6.249739055,-24.724,-25.207,-8.14,11.063,-2.439
5a27,-10.56139971,-45.58,-48.981,-3.702,12.102,-4.999
2xas,-8.079858332,-42.302,-43.697,-14.466,20.488,-4.627
3ryw,-8.571383116,-32.748,-41.913,-12.403,26.811,-5.242
4kzo,-10.10536268,-59.921,-60.519,-39.66,46.008,-5.75
1f74,-4.180946686,-22.088,-20.901,-20.909,22.952,-3.231
5oht,-8.260606179,-22.349,-20.177,-22.273,22.462,-2.361
2ay2,-2.584443562,-18.457,-18.63,-5.354,8.12,-2.592
3zj8,-5.34835389,-33.859,-31.599,-17.121,18.017,-3.155
1sre,-5.290254811,-25.914,-26.531,-4.673,8.304,-3.015
6afa,-7.542844452,-6.035,-5.611,-3.221,3.785,-0.987
5tr6,-11.59914821,-44.215,-44.207,-7.16,11.236,-4.085
1o4o,-3.35341044,-4.048,-3.794,-2.419,3.034,-0.87
2y5k,-9.090475506,-47.483,-46.752,-12.074,15.949,-4.606
2r5q,-11.76226649,-28.75,-33.277,-8.363,19.155,-6.265
3wig,-11.85785654,-61.366,-62.142,-10.053,15.917,-5.088
5df1,-7.404860914,-26.507,-27.968,-3.322,7.502,-2.719
1ado,-8.236269695,-10.03,-9.452,-13.214,14.513,-1.877
5g5f,-7.253403588,-23.586,-22.807,-12.907,15.331,-3.203
3gx0,-4.779076355,-40.221,-37.433,-21.125,23.222,-4.885
3gn2,-8.776654766,-30.216,-28.726,-6.282,8.118,-3.326
5n6s,-11.10000165,-34.955,-31.762,-56.729,57.161,-3.625
4woe,-7.435419536,-29.233,-35.307,-16.049,25.898,-3.775
5x4n,-5.720763424,-10.643,-10.54,-1.132,2.518,-1.489
2pdh,-9.114162878,-38.498,-38.526,-8.522,12.027,-3.477
4l6s,-11.69163266,-48.738,-52.56,-8.686,17.206,-4.698
3dkg,-6.858969257,-46.908,-48.106,-6.418,11.788,-4.173
6fpg,-9.533775443,-10.56,-9.072,-15.405,16.269,-2.352
5k0h,-9.734604988,-58.044,-57.544,-17.654,22.59,-5.436
2r2w,-6.133990796,-35.988,-34.823,-11.619,13.552,-3.097
3nyx,-10.28826768,-53.225,-54.046,-7.509,12.498,-4.168
5ig6,-5.033915823,-30.859,-28.001,-10.206,10.901,-3.552
2fxd,-10.815347,-60.861,-61.648,-17.837,25.742,-7.119
1lqd,-11.04450477,-51.445,-52.381,-7.234,12.852,-4.682
2oiq,-6.863558079,-66.843,-69.918,-7.314,16.787,-6.398
4j1p,-9.171995837,-33.01,-31.377,-7.23,9.46,-3.863
5a28,-10.97435081,-47.611,-51.255,-3.396,12.005,-4.965
4bnp,-5.511495619,-3.019,-2.502,-5.579,6.148,-1.086
3wcf,-9.934513537,-41.504,-42.826,-7.752,13.62,-4.546
184l,-6.480909773,-29.112,-28.063,-0.339,1.566,-2.276
6qr3,-8.845338406,-48.551,-48.865,-7.577,11.802,-3.91
2gz2,-7.168092435,-26.631,-27.603,-8.343,12.608,-3.293
1olx,-5.939694462,-34.32,-32.939,-20.185,21.978,-3.174
2gga,-3.047918454,-18.271,-7.893,-84.792,76.307,-1.894
4djh,-13.03369092,-58.196,-60.827,-5.69,13.907,-5.585
3ok9,-15.41438188,-62.533,-66.132,-14.956,24.675,-6.119
4eb8,-13.48143242,-39.198,-38.296,-16.57,18.94,-3.272
5dx4,-9.4213034,-36.852,-36.022,-5.569,8.64,-3.901
1q4x,-13.01534605,-56.961,-56.223,-6.005,9.962,-4.696
3upj,-8.576197225,-32.498,-32.2,-6.518,10.002,-3.783
3fra,-10.81085163,-46.609,-48.457,-2.607,8.577,-4.122
5xsr,-10.55958954,-45.063,-45.452,-9.225,13.321,-3.708
5ymx,-9.500288295,-33.657,-30.775,-24.397,24.798,-3.283
3n87,-6.806737859,-35.719,-35.82,-13.879,17.872,-3.893
3dn4,-6.467088578,-21.116,-21.327,-0.172,2.088,-1.705
3suu,-11.69945465,-33.516,-34.582,-5.799,10.222,-3.358
3zlr,-12.71081169,-79.008,-83.805,0,6.493,-1.696
5mzg,-9.367035206,-37.391,-38.967,-2.768,7.899,-3.556
4cp7,-11.12981592,-77.28,-80.04,-20.32,30.742,-7.662
3v49,-10.94767112,-53.838,-54.603,-7.85,12.726,-4.111
3fzn,-5.509005057,-35.388,-35.958,-52.02,57.15,-4.559
4xua,-6.260546514,-37.575,-37.646,-3.339,7.067,-3.657
2aqu,-12.7919684,-70.733,-73.676,-16.999,27.045,-7.102
6o48,-9.780486166,-76.862,-81.729,-6.39,19.567,-8.31
6afl,-9.608981311,-18.198,-18.453,-1.969,4.559,-2.335
4zbq,-6.2979942,-36.608,-36.684,-4.049,7.416,-3.291
3o5x,-7.253403588,-24.688,-26.764,-7.597,13.455,-3.782
3gf4,-4.286771745,-45.915,-48.356,-21.995,29.375,-4.94
6dys,-5.832268526,-25.558,-23.857,-12.331,13.856,-3.226
2vot,-9.80482265,-47.184,-35.287,-65.952,57.406,-3.351
1qbo,-10.63127739,-45.662,-47.693,16.318,-9.81,-4.477
5ixe,-3.619165533,-23.559,-24.113,-1.478,3.975,-1.943
5f2r,-5.880691972,-43.11,-42.15,-43.5,47.373,-4.833
6izq,-7.504705357,-22.479,-34.796,1.89,13.951,-3.525
6smw,-5.383540549,-31.953,-32.95,-23.053,27.552,-3.502
5tig,-5.795380819,-4.839,-4.781,-3.656,4.685,-1.086
5lny,-10.12615139,-53.549,-53.313,-10.901,15.953,-5.288
4xzj,-5.517734027,-60.469,-59.37,-41.808,46.855,-6.146
4o9v,-10.98169293,-50.64,-51.799,-8.93,14.927,-4.837
3huc,-8.218647888,-47.544,-45.994,-13.786,16.458,-4.222
1y8y,-7.781561483,-35.874,-36.212,-8.976,12.816,-3.503
4z0k,-8.696619551,-50.457,-50.943,-10.809,15.536,-4.241
2cc8,-10.21520351,-17.331,-17.373,-6.068,8.189,-2.079
2f6t,-6.341637691,-37.859,-32.388,-17,15.084,-3.555
4kne,-8.098489882,-28.593,-27.71,-6.23,8.405,-3.058
4k6i,-8.512664293,-56.975,-54.715,-6.766,8.901,-4.395
1h2k,-4.009441831,-14.482,-13.798,-12.874,14.042,-1.852
2i2b,-3.354491943,-14.916,-13.749,-8.509,9.34,-1.998
4o97,-11.69945465,-52.704,-53.856,-10.404,16.785,-5.228
1dru,-8.693389842,-58.749,-55.861,-39.596,42.401,-5.693
6q9o,-11.56319781,-50.096,-49.897,-5.041,9.689,-4.848
5mnh,-6.429821916,-20.687,-20.896,-5.278,7.414,-1.927
5mpk,-11.69945465,-39.232,-39.06,-4.327,8.391,-4.235
6d9x,-4.791858246,-17.761,-17.73,-1.88,4.112,-2.263
5tlb,-5.699668962,-51.849,-51.765,-20.274,25.613,-5.424
2jal,-6.621835562,-15.743,-13.638,-19.287,19.424,-2.242
3mss,-6.393510488,-69.882,-70.7,-7.715,14.63,-6.097
4iax,-13.12839063,-56.428,-56.39,-18.201,23.796,-5.633
6ht0,-11.29887884,-40.418,-44.481,0,4.39,-0.327
4nk9,-11.67990664,-55.457,-58.734,-5.144,13.547,-5.126
3cyx,-10.98169293,-67.469,-70.424,-17.529,27.41,-6.926
3x00,-12.46548699,-30.064,-34.884,-4.129,12.543,-3.594
2r75,-8.437099859,-42.642,-41.168,-29.877,33.001,-4.598
2wl0,-10.70149506,-73.893,-77.28,-17.442,28.137,-7.308
1wcq,-8.592676847,-24.626,-23.264,-23.581,25.277,-3.058
4ivc,-13.72711616,-47.08,-46.948,-10.442,14.269,-3.959
3kac,-4.2748542,-16.507,-16.38,-5.523,7.58,-2.184
4ck3,-4.903140858,-18.83,-17.958,-3.085,4.696,-2.484
6ht1,-9.764796811,-42.323,-42.27,-7.938,11.965,-4.079
1rg7,-12.55863822,-47.799,-46.802,-15.625,19.283,-4.655
5mt0,-4.528332652,-33.297,-33.723,-7.751,11.822,-3.645
6b1c,-9.546765931,-39.307,-38.069,-14.092,16.44,-3.586
3zu4,-7.788744661,-44.642,-43.77,-6.575,9.807,-4.104
1n7m,-7.835086391,-44.015,-46.438,-1.855,8.707,-4.429
4oxk,-10.14844862,-52.412,-51.868,-11.375,15.295,-4.464
5mem,-9.806599843,-57.549,-62.595,-19.663,29.728,-5.019
3rv4,-3.158650603,-30.583,-35.42,-18.145,26.952,-3.97
5boj,-9.608981311,-18.514,-17.979,-1.849,3.849,-2.535
5ou2,-4.413793192,-23.142,-24.724,-2.171,6.189,-2.436
6dq8,-9.039342576,-38.199,-39.875,-6.699,12.743,-4.368
3vfb,-12.40411341,-66.846,-69.363,-19.579,28.273,-6.177
4zz3,-8.236269695,-40.794,-41.386,-10.325,15.004,-4.087
6agk,-7.653029737,-55.267,-54.32,-5.096,8.804,-4.654
4xar,-9.568645858,-25.49,-23.597,-19.897,20.252,-2.248
4m8h,-10.43543605,-49.295,-50.492,0,2.409,-1.212
2gh7,-17.84525101,-33.723,-30.454,-14.886,14.671,-3.053
4der,-8.661541135,-11.58,-10.972,-2.976,4.253,-1.885
3ik1,-6.662966427,-26.955,-28.836,-5.43,10.713,-3.402
3h3c,-9.358502685,-45.77,-45.44,-5.497,9.96,-4.792
5efa,-6.63387963,-35.265,-33.723,-15.888,18.303,-3.957
3dba,-10.98169293,-35.617,-35.921,-16.24,19.966,-3.422
4nue,-9.367258794,-32.552,-31.442,-5.643,8.431,-3.897
5mes,-8.879414028,-61.596,-60.442,-6.219,10.597,-5.532
1sri,-8.347352138,-13.69,-13.774,-0.989,2.703,-1.63
4idn,-7.191394815,-37.077,-45.28,-27.751,40.539,-4.584
2p4i,-10.92346368,-73.083,-74.148,-4.079,11.459,-6.315
5o3q,-7.793955526,-42.091,-42.162,-13.357,16.693,-3.265
1q7a,-9.875040312,-34.159,-34.539,-6.668,11.135,-4.086
1ajn,-3.616425245,-21.636,-21.98,-8.516,11.162,-2.302
2wjg,-9.742010811,-33.031,-30.286,-21.251,21.736,-3.232
4qyy,-10.02220868,-69.082,-69.138,-11.514,17.289,-5.718
5k00,-11.13497192,-73.86,-73.005,-13.334,19.037,-6.558
1gjb,-8.712308906,-29.153,-30.964,-7.772,12.591,-3.008
3q71,-7.168092435,-47.678,-49.141,-18.445,25.141,-5.234
4e9u,-7.994547178,-42.342,-42.507,-1.527,5.318,-3.626
2xab,-12.72175074,-39.965,-37.857,-10.503,11.896,-3.502
6qqt,-5.805400569,-41.377,-42.315,-5.079,9.615,-3.599
6qav,-11.40696437,-56.471,-57.671,-6.524,12.696,-4.972
6max,-6.680247668,-15.317,-15.776,-2.139,4.838,-2.24
2h21,-8.974242208,-39.21,-38.497,-13.764,17.237,-4.187
4jlj,-8.421201244,-34.57,-33.345,-16.184,18.555,-3.596
4orm,-11.94033915,-49.72,-50.684,-2.119,6.959,-3.877
2vts,-10.27198659,-46.777,-47.817,-8.783,14.021,-4.199
2vhj,-5.357816963,-14.546,-14.637,-6.048,8.329,-2.19
2pgj,-4.895113554,-44.997,-45.163,-22.985,27.11,-3.958
2vfi,-3.732989079,-17.123,-19.28,0,2.382,-0.225
3ht7,-4.873766768,-22.985,-22.634,-1.658,3.268,-1.962
5nkb,-12.51801311,-57.285,-57.925,-6.3,12.076,-5.136
2xk4,-6.516000783,-48.492,-47.647,-8.523,12.49,-4.812
2ff1,-11.26667927,-13.222,-30.45,-3.719,23.963,-3.015
4i9h,-9.838898272,-64.458,-65.947,-11.213,19.672,-6.97
2ieg,-9.380068698,-24.289,-23.768,-7.396,9.42,-2.545
3wqm,-8.581934915,-42.102,-41.929,-17.263,21.577,-4.487
2i0d,-16.60556889,-53.997,-55.25,-16.468,23.834,-6.112
5uey,-11.38311474,-42.94,-40.556,-10.466,12.831,-4.749
3od0,-10.87299991,-31.146,-29.603,-12.622,14.119,-3.04
5am7,-9.870400903,-37.85,-37.818,-9.295,13.052,-3.789
3gcq,-8.875917472,-67.565,-69.075,-5.019,12.817,-6.289
1w62,-9.139930227,-19.354,-14.192,0.148,-3.742,-1.568
3rhj,-11.16184367,-63.35,-62.956,-40.724,46.725,-6.394
2w8j,-4.061314628,-23.276,-25.2,-12.197,17.092,-2.971
4g3e,-11.498863,-57.281,-55.632,-8.706,11.524,-4.468
4jve,-9.647468695,-47.846,-50.171,0,3.234,-0.909
2f32,-1.559286712,-3.195,-2.594,-2.35,2.499,-0.75
